eeg_value,state
,Fatigue
51.0,Fatigue
42.0,Fatigue
41.0,Fatigue
39.0,Fatigue
39.0,Fatigue
37.0,Fatigue
41.0,Fatigue
38.0,Fatigue
37.0,Fatigue
35.0,Fatigue
37.0,Fatigue
38.0,Fatigue
38.0,Fatigue
38.0,Fatigue
38.0,Fatigue
39.0,Fatigue
39.0,Fatigue
37.0,Fatigue
39.0,Fatigue
39.0,Fatigue
39.0,Fatigue
37.0,Fatigue
42.0,Fatigue
39.0,Fatigue
38.0,Fatigue
37.0,Fatigue
42.0,Fatigue
38.0,Fatigue
39.0,Fatigue
37.0,Fatigue
35.0,Fatigue
35.0,Fatigue
34.0,Fatigue
37.0,Fatigue
35.0,Fatigue
35.0,Fatigue
37.0,Fatigue
34.0,Fatigue
33.0,Fatigue
36.0,Fatigue
42.0,Fatigue
42.0,Fatigue
39.0,Fatigue
35.0,Fatigue
34.0,Fatigue
37.0,Fatigue
35.0,Fatigue
37.0,Fatigue
39.0,Fatigue
37.0,Fatigue
37.0,Fatigue
34.0,Fatigue
38.0,Fatigue
35.0,Fatigue
36.0,Fatigue
35.0,Fatigue
37.0,Fatigue
35.0,Fatigue
38.0,Fatigue
37.0,Fatigue
37.0,Fatigue
35.0,Fatigue
37.0,Fatigue
37.0,Fatigue
35.0,Fatigue
33.0,Fatigue
35.0,Fatigue
33.0,Fatigue
33.0,Fatigue
34.0,Fatigue
35.0,Fatigue
33.0,Fatigue
37.0,Fatigue
33.0,Fatigue
37.0,Fatigue
34.0,Fatigue
33.0,Fatigue
34.0,Fatigue
35.0,Fatigue
37.0,Fatigue
35.0,Fatigue
34.0,Fatigue
36.0,Fatigue
38.0,Fatigue
37.0,Fatigue
37.0,Fatigue
36.0,Fatigue
37.0,Fatigue
38.0,Fatigue
34.0,Fatigue
38.0,Fatigue
37.0,Fatigue
35.0,Fatigue
35.0,Fatigue
35.0,Fatigue
34.0,Fatigue
37.0,Fatigue
35.0,Fatigue
30.0,Fatigue
,Fatigue
35.0,Fatigue
35.0,Fatigue
32.0,Fatigue
35.0,Fatigue
36.0,Fatigue
37.0,Fatigue
37.0,Fatigue
35.0,Fatigue
37.0,Fatigue
37.0,Fatigue
34.0,Fatigue
38.0,Fatigue
34.0,Fatigue
38.0,Fatigue
35.0,Fatigue
37.0,Fatigue
38.0,Fatigue
38.0,Fatigue
35.0,Fatigue
36.0,Fatigue
36.0,Fatigue
36.0,Fatigue
37.0,Fatigue
36.0,Fatigue
37.0,Fatigue
34.0,Fatigue
36.0,Fatigue
38.0,Fatigue
37.0,Fatigue
35.0,Fatigue
34.0,Fatigue
32.0,Fatigue
37.0,Fatigue
34.0,Fatigue
36.0,Fatigue
36.0,Fatigue
41.0,Fatigue
35.0,Fatigue
35.0,Fatigue
35.0,Fatigue
35.0,Fatigue
36.0,Fatigue
35.0,Fatigue
34.0,Fatigue
35.0,Fatigue
34.0,Fatigue
38.0,Fatigue
37.0,Fatigue
37.0,Fatigue
34.0,Fatigue
37.0,Fatigue
37.0,Fatigue
36.0,Fatigue
37.0,Fatigue
33.0,Fatigue
34.0,Fatigue
34.0,Fatigue
34.0,Fatigue
35.0,Fatigue
34.0,Fatigue
35.0,Fatigue
33.0,Fatigue
35.0,Fatigue
37.0,Fatigue
36.0,Fatigue
37.0,Fatigue
35.0,Fatigue
34.0,Fatigue
34.0,Fatigue
32.0,Fatigue
39.0,Fatigue
34.0,Fatigue
38.0,Fatigue
33.0,Fatigue
36.0,Fatigue
33.0,Fatigue
39.0,Fatigue
35.0,Fatigue
36.0,Fatigue
37.0,Fatigue
37.0,Fatigue
37.0,Fatigue
36.0,Fatigue
34.0,Fatigue
34.0,Fatigue
37.0,Fatigue
36.0,Fatigue
34.0,Fatigue
35.0,Fatigue
37.0,Fatigue
33.0,Fatigue
34.0,Fatigue
33.0,Fatigue
38.0,Fatigue
37.0,Fatigue
34.0,Fatigue
35.0,Fatigue
35.0,Fatigue
35.0,Fatigue
34.0,Fatigue
,Fatigue
39.0,Fatigue
34.0,Fatigue
34.0,Fatigue
36.0,Fatigue
41.0,Fatigue
37.0,Fatigue
37.0,Fatigue
35.0,Fatigue
35.0,Fatigue
37.0,Fatigue
35.0,Fatigue
32.0,Fatigue
33.0,Fatigue
32.0,Fatigue
32.0,Fatigue
32.0,Fatigue
33.0,Fatigue
30.0,Fatigue
32.0,Fatigue
28.0,Fatigue
32.0,Fatigue
29.0,Fatigue
31.0,Fatigue
30.0,Fatigue
32.0,Fatigue
31.0,Fatigue
31.0,Fatigue
30.0,Fatigue
32.0,Fatigue
31.0,Fatigue
30.0,Fatigue
32.0,Fatigue
32.0,Fatigue
32.0,Fatigue
32.0,Fatigue
32.0,Fatigue
31.0,Fatigue
32.0,Fatigue
34.0,Fatigue
32.0,Fatigue
31.0,Fatigue
28.0,Fatigue
29.0,Fatigue
30.0,Fatigue
34.0,Fatigue
31.0,Fatigue
35.0,Fatigue
29.0,Fatigue
33.0,Fatigue
30.0,Fatigue
33.0,Fatigue
29.0,Fatigue
32.0,Fatigue
29.0,Fatigue
32.0,Fatigue
31.0,Fatigue
32.0,Fatigue
32.0,Fatigue
33.0,Fatigue
31.0,Fatigue
31.0,Fatigue
32.0,Fatigue
32.0,Fatigue
30.0,Fatigue
32.0,Fatigue
30.0,Fatigue
34.0,Fatigue
33.0,Fatigue
31.0,Fatigue
33.0,Fatigue
32.0,Fatigue
32.0,Fatigue
31.0,Fatigue
33.0,Fatigue
31.0,Fatigue
32.0,Fatigue
32.0,Fatigue
28.0,Fatigue
31.0,Fatigue
31.0,Fatigue
32.0,Fatigue
32.0,Fatigue
32.0,Fatigue
29.0,Fatigue
29.0,Fatigue
27.0,Fatigue
31.0,Fatigue
30.0,Fatigue
30.0,Fatigue
30.0,Fatigue
32.0,Fatigue
31.0,Fatigue
32.0,Fatigue
32.0,Fatigue
32.0,Fatigue
32.0,Fatigue
32.0,Fatigue
33.0,Fatigue
32.0,Fatigue
30.0,Fatigue
,Fatigue
32.0,Fatigue
30.0,Fatigue
32.0,Fatigue
29.0,Fatigue
31.0,Fatigue
30.0,Fatigue
32.0,Fatigue
30.0,Fatigue
31.0,Fatigue
29.0,Fatigue
30.0,Fatigue
30.0,Fatigue
31.0,Fatigue
29.0,Fatigue
31.0,Fatigue
29.0,Fatigue
32.0,Fatigue
31.0,Fatigue
32.0,Fatigue
30.0,Fatigue
31.0,Fatigue
32.0,Fatigue
32.0,Fatigue
32.0,Fatigue
31.0,Fatigue
30.0,Fatigue
30.0,Fatigue
32.0,Fatigue
32.0,Fatigue
32.0,Fatigue
31.0,Fatigue
31.0,Fatigue
32.0,Fatigue
32.0,Fatigue
32.0,Fatigue
31.0,Fatigue
31.0,Fatigue
32.0,Fatigue
31.0,Fatigue
32.0,Fatigue
33.0,Fatigue
30.0,Fatigue
33.0,Fatigue
32.0,Fatigue
32.0,Fatigue
31.0,Fatigue
32.0,Fatigue
31.0,Fatigue
33.0,Fatigue
32.0,Fatigue
32.0,Fatigue
32.0,Fatigue
32.0,Fatigue
33.0,Fatigue
33.0,Fatigue
32.0,Fatigue
31.0,Fatigue
30.0,Fatigue
32.0,Fatigue
34.0,Fatigue
32.0,Fatigue
33.0,Fatigue
31.0,Fatigue
38.0,Fatigue
32.0,Fatigue
30.0,Fatigue
32.0,Fatigue
30.0,Fatigue
35.0,Fatigue
32.0,Fatigue
32.0,Fatigue
32.0,Fatigue
34.0,Fatigue
28.0,Fatigue
27.0,Fatigue
27.0,Fatigue
31.0,Fatigue
29.0,Fatigue
28.0,Fatigue
27.0,Fatigue
30.0,Fatigue
29.0,Fatigue
28.0,Fatigue
29.0,Fatigue
30.0,Fatigue
30.0,Fatigue
31.0,Fatigue
23.0,Fatigue
29.0,Fatigue
29.0,Fatigue
29.0,Fatigue
32.0,Fatigue
30.0,Fatigue
29.0,Fatigue
29.0,Fatigue
30.0,Fatigue
31.0,Fatigue
31.0,Fatigue
32.0,Fatigue
30.0,Fatigue
,Fatigue
32.0,Fatigue
32.0,Fatigue
34.0,Fatigue
32.0,Fatigue
30.0,Fatigue
32.0,Fatigue
28.0,Fatigue
27.0,Fatigue
26.0,Fatigue
30.0,Fatigue
30.0,Fatigue
32.0,Fatigue
31.0,Fatigue
31.0,Fatigue
32.0,Fatigue
30.0,Fatigue
29.0,Fatigue
31.0,Fatigue
28.0,Fatigue
32.0,Fatigue
31.0,Fatigue
32.0,Fatigue
23.0,Fatigue
32.0,Fatigue
32.0,Fatigue
32.0,Fatigue
31.0,Fatigue
32.0,Fatigue
31.0,Fatigue
30.0,Fatigue
30.0,Fatigue
33.0,Fatigue
32.0,Fatigue
30.0,Fatigue
29.0,Fatigue
30.0,Fatigue
30.0,Fatigue
29.0,Fatigue
32.0,Fatigue
30.0,Fatigue
33.0,Fatigue
33.0,Fatigue
