eeg_value,state
586,Distraction
55,Distraction
45,Distraction
39,Distraction
39,Distraction
38,Distraction
39,Distraction
39,Distraction
37,Distraction
37,Distraction
37,Distraction
37,Distraction
38,Distraction
37,Distraction
38,Distraction
38,Distraction
39,Distraction
37,Distraction
38,Distraction
39,Distraction
38,Distraction
38,Distraction
38,Distraction
39,Distraction
39,Distraction
39,Distraction
38,Distraction
38,Distraction
37,Distraction
38,Distraction
41,Distraction
38,Distraction
37,Distraction
39,Distraction
37,Distraction
36,Distraction
37,Distraction
38,Distraction
35,Distraction
38,Distraction
38,Distraction
36,Distraction
36,Distraction
37,Distraction
36,Distraction
34,Distraction
34,Distraction
35,Distraction
38,Distraction
34,Distraction
35,Distraction
35,Distraction
37,Distraction
33,Distraction
35,Distraction
38,Distraction
38,Distraction
38,Distraction
38,Distraction
38,Distraction
39,Distraction
38,Distraction
37,Distraction
35,Distraction
37,Distraction
37,Distraction
36,Distraction
41,Distraction
38,Distraction
36,Distraction
38,Distraction
36,Distraction
38,Distraction
42,Distraction
35,Distraction
39,Distraction
37,Distraction
37,Distraction
36,Distraction
39,Distraction
37,Distraction
37,Distraction
38,Distraction
38,Distraction
41,Distraction
38,Distraction
38,Distraction
38,Distraction
38,Distraction
39,Distraction
37,Distraction
39,Distraction
39,Distraction
35,Distraction
38,Distraction
38,Distraction
38,Distraction
38,Distraction
38,Distraction
39,Distraction
39,Distraction
41,Distraction
38,Distraction
39,Distraction
42,Distraction
41,Distraction
37,Distraction
43,Distraction
44,Distraction
41,Distraction
41,Distraction
39,Distraction
37,Distraction
37,Distraction
36,Distraction
39,Distraction
39,Distraction
37,Distraction
36,Distraction
39,Distraction
38,Distraction
39,Distraction
37,Distraction
38,Distraction
37,Distraction
36,Distraction
38,Distraction
38,Distraction
38,Distraction
35,Distraction
38,Distraction
38,Distraction
41,Distraction
39,Distraction
39,Distraction
39,Distraction
41,Distraction
38,Distraction
39,Distraction
39,Distraction
40,Distraction
43,Distraction
45,Distraction
46,Distraction
46,Distraction
45,Distraction
42,Distraction
46,Distraction
44,Distraction
43,Distraction
46,Distraction
43,Distraction
43,Distraction
44,Distraction
46,Distraction
44,Distraction
43,Distraction
45,Distraction
43,Distraction
43,Distraction
43,Distraction
44,Distraction
42,Distraction
42,Distraction
41,Distraction
46,Distraction
43,Distraction
44,Distraction
44,Distraction
44,Distraction
45,Distraction
45,Distraction
44,Distraction
44,Distraction
43,Distraction
46,Distraction
43,Distraction
45,Distraction
42,Distraction
44,Distraction
42,Distraction
43,Distraction
44,Distraction
44,Distraction
45,Distraction
45,Distraction
44,Distraction
43,Distraction
45,Distraction
45,Distraction
46,Distraction
43,Distraction
46,Distraction
47,Distraction
45,Distraction
41,Distraction
42,Distraction
41,Distraction
43,Distraction
42,Distraction
42,Distraction
45,Distraction
43,Distraction
42,Distraction
44,Distraction
42,Distraction
43,Distraction
39,Distraction
39,Distraction
38,Distraction
41,Distraction
43,Distraction
43,Distraction
43,Distraction
39,Distraction
43,Distraction
43,Distraction
43,Distraction
43,Distraction
44,Distraction
42,Distraction
43,Distraction
43,Distraction
45,Distraction
43,Distraction
46,Distraction
42,Distraction
41,Distraction
42,Distraction
43,Distraction
42,Distraction
44,Distraction
44,Distraction
44,Distraction
45,Distraction
45,Distraction
42,Distraction
44,Distraction
43,Distraction
41,Distraction
39,Distraction
38,Distraction
42,Distraction
41,Distraction
45,Distraction
43,Distraction
45,Distraction
45,Distraction
42,Distraction
45,Distraction
42,Distraction
43,Distraction
42,Distraction
44,Distraction
41,Distraction
45,Distraction
43,Distraction
45,Distraction
42,Distraction
42,Distraction
42,Distraction
45,Distraction
48,Distraction
44,Distraction
45,Distraction
44,Distraction
42,Distraction
42,Distraction
38,Distraction
36,Distraction
35,Distraction
36,Distraction
39,Distraction
43,Distraction
39,Distraction
39,Distraction
41,Distraction
43,Distraction
41,Distraction
38,Distraction
37,Distraction
39,Distraction
39,Distraction
41,Distraction
38,Distraction
42,Distraction
43,Distraction
42,Distraction
43,Distraction
44,Distraction
42,Distraction
42,Distraction
43,Distraction
42,Distraction
41,Distraction
