mean,std,var,max,min,range,diff_mean,diff_std,skew,kurt,state
44.64,3.0355714252099255,9.214693877551019,55.0,37.0,18.0,0.20408163265306123,2.6724565771217716,-0.015219376330356565,2.5006488238264524,Normal
41.24,4.083615844732085,16.67591836734694,55.0,37.0,18.0,-0.08163265306122448,2.7836016508779613,1.011129158008641,0.7905244472876518,Normal
37.54,1.8539533050060504,3.4371428571428573,45.0,34.0,11.0,-0.20408163265306123,1.690062090837828,0.9150410696378414,4.515246831013235,Normal
37.02,1.8237660071894073,3.326122448979593,42.0,33.0,9.0,-0.02040816326530612,2.334215735254321,0.26361085198853756,0.5866290706604809,Normal
37.74,1.651344535676975,2.726938775510204,42.0,33.0,9.0,0.08163265306122448,2.2482349965584345,-0.07505008204238946,1.330155838165421,Normal
38.42,1.8080319664864153,3.268979591836734,44.0,35.0,9.0,0.02040816326530612,2.0151446589930098,0.9979953756140331,1.3657187387914274,Normal
39.98,3.0270211665690647,9.162857142857142,46.0,35.0,11.0,0.10204081632653061,2.149939704509851,0.6407092659341326,-0.6082689454477279,Normal
42.5,2.757179866516969,7.6020408163265305,46.0,35.0,11.0,0.10204081632653061,1.9613083717116675,-0.7180763924238149,-0.2745266410272875,Normal
43.76,1.450685974261269,2.1044897959183673,47.0,41.0,6.0,0.04081632653061224,1.8401329108326285,0.020455264989577025,-0.5624515928349516,Normal
43.06,1.8888502063532768,3.5677551020408163,47.0,38.0,9.0,-0.061224489795918366,2.0041606036230073,-0.5251677230799296,0.6476332058752972,Normal
42.58,1.8853895824340974,3.55469387755102,46.0,38.0,8.0,0.0,2.080031396937291,-0.7480424066205836,0.39426008129506895,Normal
42.24,2.6768851835135337,7.1657142857142855,48.0,35.0,13.0,0.0,2.276768207215604,-0.7996102378773241,0.6837967836122036,Normal
41.72,2.7258400689755544,7.430204081632654,48.0,35.0,13.0,0.061224489795918366,2.2168939777959626,-0.5049455420002771,0.15888662315796198,Normal
42.44,1.9289417633849426,3.720816326530612,46.0,37.0,9.0,0.0,1.8735538640862859,-0.9090814421897159,1.0302202165988472,Normal
42.9,1.5286381827880497,2.3367346938775513,46.0,39.0,7.0,-0.04081632653061224,2.2035146663073073,-0.25352931093607883,0.43647633186149903,Normal
43.18,1.8147918304188781,3.293469387755102,48.0,39.0,9.0,-0.08163265306122448,2.464745172023958,0.14782953720319197,0.5961412895674805,Normal
43.66,1.6239282179772778,2.637142857142857,48.0,39.0,9.0,0.0,2.1189138534559038,0.5796448671006283,1.8605779579623887,Normal
