delta_power,theta_power,alpha_power,beta_power,eeg_mean,eeg_std,state
0.0,0.0,174.71137255571406,0.7458427046275753,45.96,108.65927664033109,Stress
0.0,0.0,0.0373205255661334,0.4865009811687559,21.44,1.8347751905887544,Stress
0.0,0.0,0.0864969918548718,0.2966888780568195,20.6,1.7663521732655694,Stress
0.0,0.0,2.195777001383538,3.9537814093007695,21.76,2.4540578640284747,Stress
0.0,0.0,0.8492968869834855,0.3036628018763605,22.04,2.253530563360524,Stress
0.0,0.0,0.1575282052587163,0.0839777665637862,21.88,1.4232357499725756,Stress
0.0,0.0,0.0344052360450154,0.2776992263139212,21.56,1.7223240113288787,Stress
0.0,0.0,0.0153554196958071,0.1440357064826431,21.88,1.8829763673503712,Stress
0.0,0.0,0.4339763890818013,0.6521337723122926,23.56,1.576832267554162,Stress
0.0,0.0,0.5838048214076863,0.5613655954739619,23.48,1.6521501142450707,Stress
0.0,0.0,0.1016902824943231,0.3082165213519171,24.16,1.5666524822052912,Stress
0.0,0.0,0.9699560653917634,0.8822796393417314,23.16,2.09150663398422,Stress
0.0,0.0,2.950879093187541,1.611080833446272,22.64,2.447529366524537,Stress
0.0,0.0,0.9356537245150992,2.280969480784207,22.36,2.1518364250100426,Stress
0.0,0.0,0.1951646419660923,0.3458497472563721,23.08,1.4399999999999995,Stress
0.0,0.0,0.129656117825387,0.1905286964147304,22.16,1.869331431287668,Stress
0.0,0.0,1.7830530845008317,1.7329221182558454,21.04,2.424541193710678,Stress
0.0,0.0,0.4761045867619548,0.7196045822665008,22.52,2.351510153071851,Stress
0.0,0.0,0.4265799996955893,0.6782235031979889,22.76,2.195996357009729,Stress
0.0,0.0,1.3639891329798302,1.5636610001806794,22.32,2.1488601629701267,Stress
0.0,0.0,1.5015300636113262,1.012360449580687,20.64,2.3979991659714983,Stress
0.0,0.0,2.792646487305164,2.0096936521965643,21.24,2.4540578640284747,Stress
0.0,0.0,0.1543283250298401,1.0850409310887954,22.8,2.966479394838265,Stress
0.0,0.0,0.4309673469846897,4.201008985685627,25.28,3.316865990660461,Stress
0.0,0.0,0.3032185277023203,0.1059239745922106,28.28,1.4288456879593403,Stress
0.0,0.0,1.2133760727277112,0.1796553509116246,27.4,2.4166091947189146,Stress
0.0,0.0,2.6599311065617544,0.2505392940757689,24.48,2.941020231144288,Stress
0.0,0.0,0.1899663974529885,0.1750036477860791,22.36,1.5969971822141704,Stress
0.0,0.0,0.4254247788122638,0.2484714511541716,22.76,1.606984754128053,Stress
0.0,0.0,0.5579252014145722,0.4836560399703626,22.96,1.5615377036754508,Stress
0.0,0.0,0.0862781580786552,0.658659053417018,22.68,1.848675201326615,Stress
0.0,0.0,0.25224958428455,1.1030657528293957,22.36,2.0567936211491906,Stress
0.0,0.0,0.9988473032849664,0.0928382591782195,22.24,2.214136400495688,Stress
0.0,0.0,0.4165230903277938,1.1050907340515534,22.84,1.460958589419974,Stress
0.0,0.0,0.0353088996566883,0.1806275336237678,22.4,1.3856406460551018,Stress
0.0,0.0,0.1266850568300879,0.2257678573643034,22.76,1.304760514424007,Stress
0.0,0.0,0.1151193644737442,0.7242337962189596,22.96,1.9489484344127728,Stress
0.0,0.0,0.3192112096978025,1.0689100204979087,23.12,1.9249935064825543,Stress
0.0,0.0,0.0269340220001884,0.2374891896976559,22.84,2.1666564102321346,Stress
0.0,0.0,0.989072608534701,1.5132844049881884,23.6,2.5298221281347035,Stress
0.0,0.0,175.34130945254225,0.1356032241856292,53.12,110.05610205708724,Stress
0.0,0.0,0.3938409698500773,0.2291212418688983,29.0,2.019900987672416,Stress
0.0,0.0,0.6431813308286001,1.1676728725203749,28.12,1.632666530556684,Stress
0.0,0.0,0.209514151506212,0.1148490013350214,28.44,1.9407215153133128,Stress
0.0,0.0,0.3813810523656913,0.6466184918835788,28.84,1.286234815265082,Stress
