theta_power,alpha_power,beta_power,eeg_mean,eeg_std,eeg_var,eeg_diff,state
56.3187123782507,0.0190656016064492,0.5124724785328061,33.58,77.84217108996896,6059.403599999999,637.0,Normal
0.7472188643209616,1.0741948753196795,1.4189462076914894,21.54,1.9617339269126173,3.8484,74.0,Normal
0.0244363267961197,0.0089157333517685,0.1229375628298462,21.82,1.7514565367145138,3.067599999999999,97.0,Normal
0.1042404951069822,0.2140101247043137,0.5275826143067018,23.72,1.6857046004564382,2.8416,74.0,Normal
1.0921271828141974,1.6864169720833853,1.9093132774619848,23.12,2.113196630699566,4.4656,76.0,Normal
0.5345951103879953,0.0311157760759176,0.3823724820089608,21.9,2.238302928559939,5.01,91.0,Normal
1.6109203590682897,0.2300533345791569,1.039995184027107,21.84,2.394660727535322,5.734399999999999,96.0,Normal
0.9336955180706452,0.1621663022408818,2.014285691278536,21.94,2.3783187338958585,5.6564,102.0,Normal
2.275451006575298,0.0063792288874078,2.1930190089265373,23.82,3.937969019685148,15.507600000000002,117.0,Normal
4.938755919107769,1.3307013117362076,0.1072247503134403,25.72,3.2621465325763648,10.6416,89.0,Normal
0.4523459616259856,0.3549577213561627,0.1733028570395271,23.06,2.0727759164945927,4.296399999999999,86.0,Normal
0.1593944433010946,0.0236646119121284,0.9108825628584388,22.74,1.87413980268282,3.5124,100.0,Normal
0.0896819908062383,0.2138195592312355,0.5085091140789112,22.34,1.7390802166662698,3.0244,58.0,Normal
0.1498486916274513,0.1440910715704892,0.5962832707326148,22.78,1.5911002482559042,2.5316,79.0,Normal
0.5323586641248844,0.2198456239279633,0.3297783565008721,23.54,2.359745749016194,5.5684,117.0,Normal
49.36306522100036,0.4865540034798358,0.5762386161114634,40.64,78.82455454996241,6213.310399999999,630.0,Normal
0.0714273472517842,0.2619826704633637,0.4332761407997318,28.86,1.7889661819050688,3.2004,77.0,Normal
0.9232412614490796,0.1302755789158,0.1681304386882116,29.22,2.0227703774773844,4.0916,82.0,Normal
1.154744051159053,0.1045165652657282,1.3178347521937197,27.62,2.6449196585151693,6.9956,58.0,Normal
2.3327358281748505,0.14949077206143,1.715190105264464,24.68,3.4666410255461995,12.017600000000003,76.0,Normal
0.2446791703936187,0.4967215889768293,0.8761749936557734,23.08,2.0083824337013105,4.0336,86.0,Normal
0.044359732269504,0.0137970370352153,0.1208067936832619,23.4,1.7663521732655696,3.120000000000001,88.0,Normal
0.1761620274133039,0.0201659655668225,0.5991725975643464,24.34,1.7732456118654292,3.1444000000000005,84.0,Normal
0.0106158083119778,0.0766992237908164,1.5675903785578116,24.98,1.7943243853885509,3.2196,81.0,Normal
1.188340947813571,0.6983160689713251,1.3645615870562509,25.74,2.6291443475016734,6.9124,73.0,Normal
0.3357932407564122,0.0906251851734452,0.4968275366089044,28.14,2.465846710564142,6.0804,92.0,Normal
0.4173723886682794,0.2758439056721529,0.1170378699288418,28.52,1.9103926298015288,3.6496,95.0,Normal
0.0266271433069933,0.0479004491304521,0.2841340275618882,28.62,1.6234531098864546,2.6356000000000006,92.0,Normal
0.0156956327044931,0.1581150609436324,0.3829401626660254,28.42,1.7330897264711944,3.0036,81.0,Normal
0.3075862081665252,0.1717868541040556,3.0618155584887825,28.38,2.390732105443853,5.715599999999999,83.0,Normal
26.95804379944708,0.0496931109904675,0.5525396673286834,75.78,66.27738377455768,4392.691600000001,771.0,Normal
0.0374654233241934,0.0116002477011076,0.4310511887725314,66.06,3.523691246406245,12.4164,309.0,Normal
0.0039039499257654,0.0773768586038341,1.077618409129867,65.38,3.509358915813542,12.3156,295.0,Normal
0.2545167050493782,0.1830174362833034,0.7995189361226263,65.48,3.2633724886993822,10.6496,243.0,Normal
0.0480867884850672,0.1346990397532427,0.690132786990954,65.38,2.4890962215229853,6.1956000000000016,208.0,Normal
0.0355943127523562,0.0854544904915416,0.1487598575603465,65.16,2.2032702966272657,4.854399999999999,166.0,Normal
0.5635464955787939,0.5603261443007661,0.4536980058913974,63.7,2.6400757564888173,6.9700000000000015,191.0,Normal
1.4867843816163324,0.9715009746169074,0.4112388063833155,65.38,2.958986312911907,8.755600000000001,229.0,Normal
0.0585373913166027,0.0366845237659128,0.0707181022183739,66.72,2.6460536653665963,7.0016,238.0,Normal
0.0039188357073939,0.0289399722660611,0.2466812357077712,66.42,3.2563169378916417,10.603599999999998,260.0,Normal
0.0166457334118938,0.0745884576061571,0.5531787359730256,66.46,3.287613115924682,10.8084,267.0,Normal
0.2392887131045127,0.2711084050010799,0.8779785640863711,66.1,2.8231188426986207,7.969999999999999,226.0,Normal
0.2314690563368632,0.0084436979157431,0.6024078783306511,66.62,3.255088324454499,10.5956,250.0,Normal
0.6010462068950777,0.0094499680336917,0.4493694476922684,65.62,3.2366031576330143,10.4756,220.0,Normal
0.3107998043316922,0.0813724985356471,0.5010078850482362,65.52,2.547469332494505,6.489599999999999,193.0,Normal
43.251705026011614,0.0196812724418825,0.5483101639542505,56.58,76.54517359050143,5859.163599999999,622.0,Normal
0.1320871214581936,0.3079622692965488,0.1629694490028213,44.64,1.70598944897089,2.910400000000001,93.0,Normal
0.2277722165081114,0.3118208784792776,0.6186191565499238,44.76,1.619382598399773,2.6224000000000003,84.0,Normal
0.1026222002303845,0.0284504439886859,0.4090267470261444,45.66,1.290116273829611,1.6644,63.0,Normal
0.4408968979911382,0.1138469516809541,1.3223159455274949,45.24,1.6680527569594434,2.7824,59.0,Normal
0.5896034758926786,0.2265402883947282,0.2764071425870872,45.34,1.7844887222955486,3.1843999999999992,80.0,Normal
1.2020380247686286,0.136996719355997,0.6587554758253562,45.16,2.166656410232134,4.694399999999999,61.0,Normal
0.5286214494552026,0.828357427050954,0.3841584049626192,46.18,1.6815469068687914,2.8276,75.0,Normal
0.9675352567921948,0.2449190789789745,0.1471968932090486,46.96,1.959183503401353,3.838399999999999,80.0,Normal
0.3539453554614916,0.3392799562176707,0.4036834927214022,46.32,1.3181805642627265,1.7375999999999998,60.0,Normal
0.1630231952754088,0.2539387383404736,0.7460916435431431,46.0,1.469693845669907,2.16,68.0,Normal
1.0429283668755993,0.3540734374371624,1.3262090106621156,45.36,2.206898275861396,4.870400000000001,84.0,Normal
0.2173292308615138,0.1079121209637843,0.380775890586688,45.2,1.5099668870541498,2.28,78.0,Normal
0.1364093413825985,0.1813659744106779,0.2312084747592832,45.1,1.5652475842498528,2.45,89.0,Normal
0.6581560827590828,0.1013992095542679,1.728815242176506,44.38,2.6373471519691907,6.9556,101.0,Normal
37.03977170613483,0.1401765709150872,0.102340417898164,48.96,76.77863244418982,5894.958399999999,598.0,Normal
0.7304078701688176,0.5991248298432821,0.582854435484176,37.04,1.810635247641004,3.2784000000000004,84.0,Normal
0.0459616371270677,0.0073654605995853,0.2784669992358297,37.54,1.639634105524766,2.6884,78.0,Normal
2.475762408509991,0.2656496202659033,0.4422514204430575,39.8,2.8425340807103794,8.080000000000002,82.0,Normal
1.9675279905786969,0.8537971506184001,0.8303807191467926,42.2,2.891366458960192,8.36,69.0,Normal
0.0270730155821547,0.0620367814150179,0.3113374784866939,43.8,1.4422205101855958,2.08,70.0,Normal
0.2579609480383893,0.0708928199262503,0.7184898118278404,42.62,1.8962067397834024,3.5956,81.0,Normal
0.3263809816612078,0.1327424304521806,1.5810087609340873,42.4,2.65329983228432,7.040000000000001,95.0,Normal
2.2697348303499205,1.20314031407253,3.546560601346026,41.62,2.6221365334398588,6.8756,88.0,Normal
0.0935047231064737,0.06296031745463,0.2532062862102131,43.0,1.5620499351813308,2.44,79.0,Normal
0.3835953002405862,0.22959465495728,0.2352884497299365,43.18,1.7741476826916074,3.1476000000000006,90.0,Normal
0.2235546521062817,0.0264488893739368,0.3520606724970132,43.58,1.5885842753848471,2.5236,74.0,Normal
0.0396010345576069,0.0460596094892099,0.9146825994366258,43.68,1.448309359218534,2.0976,69.0,Normal
0.0038970095590857,0.2816474605622037,0.8881250999533569,44.04,1.7884071124886525,3.1984,79.0,Normal
4.31660422491982,2.2128082997066705,1.2781636359898587,41.56,3.2873089298086966,10.806399999999998,84.0,Normal
0.6018734385527165,1.0166341355085116,0.6431170050635069,37.96,2.9323028492978005,8.5984,98.0,Normal
0.233097955621061,0.0384851301582682,1.0839249146023076,36.14,2.227195545972557,4.960399999999999,102.0,Normal
0.0931270465253863,0.0687141074263439,0.4800140451759527,35.82,1.6454786537661312,2.7076,87.0,Normal
0.0905243954492198,0.12174479092511,0.6191677612195223,35.38,1.776400855662933,3.1556,94.0,Normal
0.113494001502555,0.1004698639852492,0.3503397970503485,35.28,1.6857046004564382,2.8416,91.0,Normal
1.0929256433056596,0.443694758397813,0.1332422293116519,32.44,2.6695317941541736,7.1264,93.0,Normal
0.02789656470648,0.0061302607857371,0.5646469723983721,31.5,1.4317821063276353,2.05,86.0,Normal
0.2712403474979039,0.2385566140760904,0.2949031884275896,31.3,1.3892443989449803,1.9300000000000004,67.0,Normal
0.106328507128042,0.0108101013556494,0.0858414322661772,31.18,1.0524257693538297,1.1076,58.0,Normal
0.0646465404711058,0.001749194903606,0.1812492544449808,31.78,1.616044553841261,2.6116,71.0,Normal
1.8038741981433304,0.842233218427785,0.7092888028811146,30.64,2.372846391994223,5.630400000000001,90.0,Normal
0.0401022033390155,0.0447018957986495,0.3066303040943358,30.52,2.1188676221038443,4.489599999999999,100.0,Normal
0.8548307167125669,0.5593619385501689,1.1271062102040952,31.22,1.972713866732832,3.8916,80.0,Normal
0.1390761034123497,0.0242933893832315,0.142468484432805,32.18,1.545186072937496,2.3876000000000004,51.0,Normal
