mean,variance,std_dev,min,max,range,difference,diff,state
0.8198198198198197,0.03515625,0.1875,0.88,0.5454545454545454,0.1764705882352941,0.6129032258064515,0.5588235294117647,Fatigue
0.738738738738739,0.0546875,0.2338535866733714,0.7599999999999999,0.4848484848484848,0.2352941176470588,0.4193548387096774,0.3235294117647059,Fatigue
0.6486486486486487,0.015625,0.125,0.7599999999999999,0.4242424242424243,0.1176470588235294,0.4838709677419354,0.4411764705882353,Fatigue
0.6846846846846848,0.064453125,0.2538762001448738,0.7200000000000001,0.4545454545454546,0.2352941176470588,0.6774193548387096,0.6764705882352942,Fatigue
0.5315315315315317,0.078125,0.2795084971874738,0.6,0.3939393939393938,0.2941176470588235,0.6774193548387096,0.5882352941176471,Fatigue
0.2702702702702704,0.130859375,0.3617449032121946,0.2799999999999999,0.2121212121212121,0.4117647058823529,0.5806451612903225,0.5588235294117647,Fatigue
0.8648648648648647,0.015625,0.125,0.92,0.5454545454545454,0.1176470588235294,0.4838709677419354,0.5,Fatigue
0.7027027027027026,0.052734375,0.2296396633859229,0.7599999999999999,0.4848484848484848,0.2352941176470588,0.6774193548387096,0.7647058823529411,Fatigue
0.3873873873873872,0.0625,0.25,0.4800000000000001,0.2727272727272727,0.2352941176470588,0.4516129032258064,0.5588235294117647,Fatigue
0.7747747747747746,0.015625,0.125,0.84,0.4848484848484848,0.1176470588235294,0.5161290322580645,0.5882352941176471,Fatigue
0.7657657657657662,0.04296875,0.2072890493972125,0.7999999999999999,0.5151515151515151,0.2352941176470588,0.6129032258064515,0.5882352941176471,Fatigue
0.4594594594594594,0.279296875,0.5284854539152428,0.44,0.3636363636363635,0.4705882352941176,0.2903225806451612,0.1764705882352941,Fatigue
0.7297297297297296,0.044921875,0.2119478119726646,0.7999999999999999,0.4848484848484848,0.1764705882352941,0.5483870967741935,0.5,Fatigue
0.3423423423423422,0.052734375,0.2296396633859229,0.44,0.2424242424242424,0.2352941176470588,0.5161290322580645,0.5,Fatigue
0.7027027027027026,0.0332031249999999,0.1822172467139156,0.7599999999999999,0.4545454545454546,0.1764705882352941,0.4838709677419354,0.2647058823529412,Fatigue
0.4594594594594594,0.005859375,0.0765465544619743,0.6,0.2727272727272727,0.0588235294117647,0.5483870967741935,0.5588235294117647,Fatigue
0.4774774774774775,0.072265625,0.2688226645950821,0.5599999999999999,0.3636363636363635,0.2941176470588235,0.5161290322580645,0.5294117647058824,Fatigue
0.2882882882882884,0.005859375,0.0765465544619743,0.44,0.1515151515151513,0.0588235294117647,0.5483870967741935,0.5294117647058824,Fatigue
0.3333333333333335,0.07421875,0.2724311839712922,0.44,0.2727272727272727,0.2941176470588235,0.6774193548387096,0.6470588235294118,Fatigue
0.7567567567567568,0.087890625,0.2964635306407856,0.7599999999999999,0.5151515151515151,0.2941176470588235,0.7096774193548386,0.6176470588235294,Fatigue
0.6576576576576576,0.013671875,0.1169267933366857,0.7599999999999999,0.4242424242424243,0.1176470588235294,0.5806451612903225,0.5588235294117647,Fatigue
0.6126126126126126,0.033203125,0.1822172467139156,0.7200000000000001,0.4242424242424243,0.1764705882352941,0.6451612903225806,0.6176470588235294,Fatigue
0.144144144144144,0.005859375,0.0765465544619743,0.3199999999999999,0.0606060606060605,0.0588235294117647,0.5806451612903225,0.4705882352941176,Fatigue
0.4774774774774775,0.072265625,0.2688226645950821,0.5599999999999999,0.3636363636363635,0.2941176470588235,0.5806451612903225,0.4705882352941176,Fatigue
0.4144144144144144,0.044921875,0.2119478119726646,0.4800000000000001,0.2727272727272727,0.2352941176470588,0.4516129032258064,0.4117647058823529,Fatigue
0.1261261261261261,0.078125,0.2795084971874738,0.2,0.0909090909090908,0.2941176470588235,0.5161290322580645,0.6470588235294118,Fatigue
0.7747747747747746,0.015625,0.125,0.88,0.5151515151515151,0.1176470588235294,0.5483870967741935,0.4411764705882353,Fatigue
