mean,variance,std_dev,min,max,range,difference,state
41.0,4.0,2.0,39.0,43.0,4.0,0.0,Panic
35.0,5.5,2.345207879911715,33.0,38.0,5.0,4.0,Panic
34.8,2.2,1.4832396974191324,33.0,37.0,4.0,-2.0,Panic
30.8,2.7,1.6431676725154984,29.0,33.0,4.0,-3.0,Panic
37.6,2.3,1.51657508881031,35.0,39.0,4.0,-1.0,Panic
38.0,0.5,0.7071067811865476,37.0,39.0,2.0,1.0,Panic
36.8,2.7,1.6431676725154982,35.0,39.0,4.0,1.0,Panic
43.6,2.3,1.51657508881031,42.0,46.0,4.0,2.0,Panic
42.4,10.8,3.286335345030997,37.0,46.0,9.0,-6.0,Panic
33.8,1.2,1.095445115010332,33.0,35.0,2.0,-2.0,Panic
47.0,1.5,1.224744871391589,45.0,48.0,3.0,-3.0,Panic
45.0,3.5,1.8708286933869709,43.0,47.0,4.0,3.0,Panic
42.8,0.7,0.8366600265340756,42.0,44.0,2.0,0.0,Panic
45.4,0.8,0.8944271909999159,45.0,47.0,2.0,2.0,Panic
30.8,0.7,0.8366600265340756,30.0,32.0,2.0,0.0,Panic
31.8,1.2000000000000002,1.0954451150103324,30.0,33.0,3.0,0.0,Panic
45.8,2.7,1.6431676725154982,44.0,48.0,4.0,3.0,Panic
34.8,4.699999999999999,2.16794833886788,33.0,38.0,5.0,-1.0,Panic
43.2,0.2,0.4472135954999579,43.0,44.0,1.0,-1.0,Panic
31.8,0.7,0.8366600265340756,31.0,33.0,2.0,0.0,Panic
46.0,2.5,1.5811388300841898,44.0,48.0,4.0,1.0,Panic
42.6,0.7999999999999999,0.8944271909999159,42.0,44.0,2.0,0.0,Panic
29.0,2.5,1.5811388300841898,27.0,31.0,4.0,-1.0,Panic
44.2,0.7,0.8366600265340756,43.0,45.0,2.0,-1.0,Panic
37.8,1.2,1.095445115010332,37.0,39.0,2.0,-2.0,Panic
39.2,1.1999999999999995,1.095445115010332,38.0,41.0,3.0,0.0,Panic
28.6,10.3,3.2093613071762426,23.0,31.0,8.0,-1.0,Panic
44.4,2.3000000000000003,1.5165750888103102,42.0,46.0,4.0,3.0,Panic
45.8,1.7,1.3038404810405295,45.0,48.0,3.0,2.0,Panic
33.4,1.2999999999999998,1.1401754250991378,32.0,35.0,3.0,1.0,Panic
45.0,2.5,1.5811388300841898,43.0,47.0,4.0,2.0,Panic
45.8,1.2,1.095445115010332,45.0,47.0,2.0,2.0,Panic
45.0,3.0,1.7320508075688772,42.0,46.0,4.0,0.0,Panic
30.8,1.7,1.3038404810405295,29.0,32.0,3.0,-1.0,Panic
43.0,2.5,1.5811388300841898,41.0,45.0,4.0,-4.0,Panic
46.4,0.7999999999999999,0.8944271909999159,45.0,47.0,2.0,2.0,Panic
36.8,1.1999999999999995,1.095445115010332,35.0,38.0,3.0,0.0,Panic
36.0,2.0,1.4142135623730951,34.0,37.0,3.0,-3.0,Panic
39.2,1.2,1.095445115010332,38.0,41.0,3.0,-1.0,Panic
42.8,1.6999999999999995,1.3038404810405295,41.0,44.0,3.0,-1.0,Panic
44.8,2.7,1.6431676725154982,42.0,46.0,4.0,-1.0,Panic
31.4,0.7999999999999999,0.8944271909999159,30.0,32.0,2.0,2.0,Panic
46.2,4.199999999999999,2.0493901531919194,43.0,48.0,5.0,-3.0,Panic
46.0,1.5,1.224744871391589,45.0,48.0,3.0,-1.0,Panic
46.8,1.6999999999999995,1.3038404810405295,45.0,48.0,3.0,2.0,Panic
37.2,1.2,1.095445115010332,36.0,38.0,2.0,0.0,Panic
46.8,1.7,1.3038404810405295,45.0,48.0,3.0,-2.0,Panic
45.6,0.3,0.5477225575051661,45.0,46.0,1.0,0.0,Panic
45.4,0.3,0.5477225575051661,45.0,46.0,1.0,0.0,Panic
46.6,1.3000000000000005,1.140175425099138,45.0,48.0,3.0,0.0,Panic
42.0,0.5,0.7071067811865476,41.0,43.0,2.0,-1.0,Panic
44.0,2.5,1.5811388300841898,42.0,46.0,4.0,-2.0,Panic
43.8,3.2,1.7888543819998317,42.0,46.0,4.0,4.0,Panic
36.4,1.8,1.3416407864998738,35.0,38.0,3.0,2.0,Panic
38.2,0.7,0.8366600265340756,37.0,39.0,2.0,1.0,Panic
41.4,5.300000000000001,2.302172886644268,39.0,44.0,5.0,-5.0,Panic
30.0,1.5,1.224744871391589,29.0,32.0,3.0,3.0,Panic
44.2,2.7,1.6431676725154982,43.0,46.0,3.0,0.0,Panic
44.4,4.800000000000001,2.1908902300206647,43.0,48.0,5.0,0.0,Panic
42.8,1.7,1.3038404810405295,41.0,44.0,3.0,-1.0,Panic
38.2,2.7,1.6431676725154982,37.0,41.0,4.0,0.0,Panic
45.4,0.3,0.5477225575051661,45.0,46.0,1.0,1.0,Panic
30.8,2.7,1.6431676725154984,29.0,33.0,4.0,-1.0,Panic
34.6,3.8,1.949358868961793,32.0,37.0,5.0,2.0,Panic
