delta_power,theta_power,alpha_power,beta_power,eeg_mean,eeg_std,state
0.0,0.0,167.86771661798645,0.311867973065108,68.32,106.96082273430773,Stress
0.0,0.0,0.1439016651062448,0.634311615909777,45.36,1.5717506163510802,Stress
0.0,0.0,0.2070772384859958,0.4119900181656438,44.64,1.5969971822141704,Stress
0.0,0.0,0.2042302870497381,0.280970281621437,44.84,1.4051334456200235,Stress
0.0,0.0,0.2804116461798984,0.0757950670513267,44.72,1.6375591592366976,Stress
0.0,0.0,0.8366201048777633,0.8894270054207749,44.44,1.92,Stress
0.0,0.0,0.6440597881315171,0.5875920578736444,44.52,1.7915356541246954,Stress
0.0,0.0,0.0180418748811104,0.1392681037971422,45.12,1.142628548566856,Stress
0.0,0.0,0.127817294148678,0.0949633008343237,46.0,1.131370849898476,Stress
0.0,0.0,0.1104416464907833,0.3460373035477976,46.12,1.177115117564973,Stress
0.0,0.0,0.0541957588256615,0.4554725971510777,45.72,1.217209924376235,Stress
0.0,0.0,0.3391982306581255,0.6402965604770623,45.36,1.292439553712281,Stress
0.0,0.0,0.5621727607340783,1.2813267875852143,44.52,1.746310396235446,Stress
0.0,0.0,1.7802892325570463,1.000403400865112,45.16,1.932459572668986,Stress
0.0,0.0,0.2120066970709583,0.2560281841190554,46.0,1.5231546211727816,Stress
0.0,0.0,0.0798446488213853,0.1963842025763557,45.8,1.5491933384829668,Stress
0.0,0.0,0.779105965858652,0.5128896817663355,43.84,1.932459572668986,Stress
0.0,0.0,1.1390952404328838,0.7157109366144719,44.0,1.7204650534085253,Stress
0.0,0.0,0.6341819550970701,0.5583017090512356,46.0,1.7204650534085253,Stress
0.0,0.0,0.7219230110534675,0.107184718983403,46.52,1.6277591959500646,Stress
0.0,0.0,1.115372984747778,0.6900645377220495,46.28,1.7092688495377195,Stress
0.0,0.0,0.2167498608242903,0.1097304549492053,45.88,1.8181309083781616,Stress
0.0,0.0,0.517650247284871,0.2035821884738294,47.24,1.7269626515938323,Stress
0.0,0.0,0.0902691959438954,0.2212843519429666,48.16,1.4333178293735134,Stress
0.0,0.0,0.2803163709087635,0.4464905360435723,46.88,0.9927738916792684,Stress
0.0,0.0,0.3452387580716184,0.2142009658701207,46.72,1.4288456879593403,Stress
0.0,0.0,0.1793929351016511,0.4835009578369447,46.08,1.44,Stress
0.0,0.0,0.1614167469410821,0.0730859582711408,45.44,1.2354756169184402,Stress
0.0,0.0,0.6922030845942215,0.8829583316039462,45.76,1.477294825009551,Stress
0.0,0.0,0.0317664176015656,0.8874455067343839,46.24,1.5304901175767192,Stress
0.0,0.0,0.3328542539137697,1.10642293774134,45.96,1.6608431593621356,Stress
0.0,0.0,1.5238747709656486,2.288067406060133,44.48,2.418594633252956,Stress
0.0,0.0,0.0507946811475682,0.1188623591794177,45.36,1.7636326148038883,Stress
0.0,0.0,0.2408594582662922,0.7106756766768807,44.76,1.5304901175767192,Stress
0.0,0.0,0.0188859548474506,0.0829705720160251,44.68,1.377534028617805,Stress
0.0,0.0,0.078413479754479,0.102970897897764,44.76,1.3646977687385584,Stress
0.0,0.0,0.1826560349112976,0.4125433983129682,44.92,1.5210522673465234,Stress
0.0,0.0,0.7066159676114669,0.4335914668576369,45.16,1.869331431287668,Stress
0.0,0.0,0.9626870183143108,1.227516256204536,45.36,1.6942254867637896,Stress
0.0,0.0,2.0640810412817903,1.1060649529142563,43.64,3.0838936427834214,Stress
0.0,0.0,185.91814941137528,0.1727533157049663,60.96,107.23375587938716,Stress
0.0,0.0,0.0501987175067567,0.0709567212211736,38.08,0.9346657156438336,Stress
0.0,0.0,0.2911474355587434,0.3090768147537373,37.64,1.2611106216347556,Stress
0.0,0.0,0.4355347700569786,0.3441742779696717,36.36,1.8084247288731703,Stress
0.0,0.0,0.900918178603296,0.6712319924955644,36.36,1.6463292501805342,Stress
0.0,0.0,0.0331297055966685,0.7051617298823587,37.12,1.9249935064825543,Stress
0.0,0.0,0.0154802647267305,0.2029743305737232,37.68,1.737124060048677,Stress
0.0,0.0,0.1504642282544879,0.2722514341441928,37.88,1.557433786714543,Stress
0.0,0.0,1.4799009854291445,1.8481665016973745,38.96,2.1067510531621907,Stress
0.0,0.0,0.07733044855693,0.1023496171800427,37.96,1.4277254638059798,Stress
0.0,0.0,0.8730625876531846,0.4751125422538723,39.4,2.8,Stress
0.0,0.0,3.7325834394675983,3.086944673608774,42.12,2.888875213642846,Stress
0.0,0.0,0.0971829484235647,0.0652520949183508,43.68,1.6178998732925347,Stress
0.0,0.0,0.3213897017964516,0.3327806242471149,43.76,1.241933975700802,Stress
0.0,0.0,0.1985272417700612,0.0793586412468888,43.68,1.2560254774486068,Stress
0.0,0.0,0.2834930477745961,0.301423248302307,44.32,1.2560254774486066,Stress
